CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2010-4508,4.0,4.0,[]
CVE-2010-3778,3.5,3.5.15,"[[datetime.datetime(2008, 1, 10, 18, 34), datetime.datetime(2008, 11, 16, 18, 39), u'Layout', []]]"
CVE-2010-3777,3.6,3.6.12,"[[datetime.datetime(2010, 9, 25, 5, 47), datetime.datetime(2011, 3, 28, 16, 32), u'JavaScript Engine', []]]"
CVE-2010-3776,1.0,3.6.12,"[[datetime.datetime(2010, 10, 18, 15, 37), datetime.datetime(2010, 10, 18, 19, 43), u'General', []], [datetime.datetime(2010, 10, 15, 19, 43), datetime.datetime(2010, 10, 20, 13, 3), u'Layout', []], [datetime.datetime(2010, 10, 4, 12, 32), datetime.datetime(2010, 10, 6, 4, 48), u'SVG', []], [datetime.datetime(2010, 9, 23, 16, 21), datetime.datetime(2010, 9, 23, 16, 32), u'JavaScript Engine', []], [datetime.datetime(2010, 6, 14, 15, 22), datetime.datetime(2010, 11, 9, 10, 46), u'Layout', []], [datetime.datetime(2010, 5, 30, 16, 38), datetime.datetime(2010, 9, 30, 8, 22), u'JavaScript Engine', []], [datetime.datetime(2008, 12, 8, 20, 22), datetime.datetime(2010, 11, 17, 18, 31), u'Layout', []]]"
CVE-2010-3775,0.1,3.6.12,"[[datetime.datetime(2010, 11, 12, 16, 57), datetime.datetime(2010, 12, 8, 9, 11), u'Plug-ins', []], [datetime.datetime(2010, 11, 8, 16, 15), datetime.datetime(2010, 11, 8, 16, 48), u'Plug-ins', []], [datetime.datetime(2010, 8, 19, 20, 11), datetime.datetime(2014, 9, 4, 9, 40), u'Security', []]]"
CVE-2010-3774,0.1,3.6.12,"[[datetime.datetime(2010, 10, 7, 22, 5), datetime.datetime(2010, 10, 8, 13, 0), u'Security: CAPS', []]]"
CVE-2010-3773,0.1,3.6.12,"[[datetime.datetime(2010, 3, 23, 14, 2), datetime.datetime(2010, 12, 8, 8, 13), u'XPConnect', []]]"
CVE-2010-3772,0.1,3.6.12,"[[datetime.datetime(2010, 9, 8, 14, 26), datetime.datetime(2010, 11, 17, 15, 19), u'XUL', []]]"
CVE-2010-3771,0.1,3.6.12,"[[datetime.datetime(2010, 11, 3, 16, 37), datetime.datetime(2010, 11, 3, 21, 1), u'Layout: Form Controls', []]]"
CVE-2010-3770,0.1,3.6.12,"[[datetime.datetime(2010, 10, 2, 20, 18), datetime.datetime(2010, 12, 8, 9, 9), u'Internationalization', []]]"
CVE-2010-3769,0.1,3.6.12,"[[datetime.datetime(2010, 10, 29, 11, 38), datetime.datetime(2010, 10, 29, 20, 54), u'Graphics', []]]"
CVE-2010-3768,1.0,3.6.12,"[[datetime.datetime(2009, 11, 7, 18, 19), datetime.datetime(2010, 11, 24, 13, 29), u'Graphics', []]]"
CVE-2010-3767,1.0,3.6.12,"[[datetime.datetime(2010, 9, 24, 13, 2), datetime.datetime(2010, 12, 8, 9, 6), u'JavaScript Engine', []]]"
CVE-2010-3766,1.0,3.6.12,"[[datetime.datetime(2010, 8, 25, 16, 22), datetime.datetime(2010, 9, 29, 0, 44), u'DOM: Core & HTML', []]]"
CVE-2010-3765,3.5,3.6.11,"[[datetime.datetime(2010, 10, 25, 21, 28), datetime.datetime(2010, 10, 26, 14, 57), u'DOM', []], [datetime.datetime(2010, 10, 25, 21, 28), datetime.datetime(2010, 10, 26, 14, 57), u'DOM', []]]"
CVE-2010-3400,3.5,3.6.3,"[[datetime.datetime(2009, 1, 27, 12, 18), datetime.datetime(2010, 6, 24, 9, 36), u'JavaScript Engine', []]]"
CVE-2010-3399,3.5.10,4.0,"[[datetime.datetime(2010, 7, 8, 10, 13), datetime.datetime(2010, 7, 8, 12, 25), u'JavaScript Engine', []], [datetime.datetime(2009, 1, 27, 12, 18), datetime.datetime(2010, 6, 24, 9, 36), u'JavaScript Engine', []]]"
CVE-2010-3183,1.0,3.6.10,"[[datetime.datetime(2010, 9, 22, 9, 39), datetime.datetime(2010, 9, 22, 9, 39), u'JavaScript Engine', []]]"
CVE-2010-3182,1.0,3.6.10,"[[datetime.datetime(2010, 8, 25, 15, 53), datetime.datetime(2010, 10, 6, 3, 0), u'General', []]]"
CVE-2010-3181,1.0,3.6.10,"[[datetime.datetime(2010, 8, 20, 9, 16), datetime.datetime(2010, 8, 25, 11, 27), u'Document Navigation', []]]"
CVE-2010-3180,1.0,3.6.10,"[[datetime.datetime(2010, 8, 19, 13, 20), datetime.datetime(2010, 9, 14, 6, 43), u'DOM', []]]"
